id,geoJSON
23,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624873108089881, 51.96354092683132], [7.625034360447216, 51.965026334975924], [7.625750154291773, 51.964545041667094], [7.625760424067627, 51.963634949920625], [7.625260486169924, 51.96342402226428], [7.625033859808501, 51.96340808902471], [7.624873108089881, 51.96354092683132]]]]}"
93,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624737626393048, 51.96013433816149], [7.625097553698651, 51.958154381931614], [7.62406134338473, 51.959648478931314], [7.624737626393048, 51.96013433816149]]]]}"
69,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.62602099488827, 51.9590130278741], [7.625364107479408, 51.95999893072373], [7.625937513320515, 51.96052453676484], [7.625973080985638, 51.96050059890051], [7.626595098807302, 51.95915149932268], [7.62602099488827, 51.9590130278741]]]]}"
123,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.626110335251693, 51.96859912956507], [7.626724175359136, 51.969833726779555], [7.6295797413202, 51.97393626178765], [7.630328094095486, 51.96806322406764], [7.630029190884717, 51.96665970438804], [7.628984840732107, 51.966255742792924], [7.62753361236524, 51.966290240235764], [7.627414733212534, 51.966318547292204], [7.626062578037505, 51.96814083948154], [7.626110335251693, 51.96859912956507]]]]}"
25,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.626014641583975, 51.96172744991316], [7.626742476211924, 51.96031332141096], [7.625973080985638, 51.96050059890051], [7.625937513320515, 51.96052453676484], [7.625945352371774, 51.96169616594898], [7.626014641583975, 51.96172744991316]]]]}"
139,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.626209269322981, 51.96349210179162], [7.62638332477851, 51.96193125392723], [7.626203353607221, 51.961856005275045], [7.625260486169924, 51.96342402226428], [7.625760424067627, 51.963634949920625], [7.626209269322981, 51.96349210179162]]]]}"
6,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.625760424067627, 51.963634949920625], [7.625750154291773, 51.964545041667094], [7.627162284953621, 51.96490851825493], [7.627368798566325, 51.9640354932109], [7.626209269322981, 51.96349210179162], [7.625760424067627, 51.963634949920625]]]]}"
10,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.627255541319063, 51.9623149378896], [7.6283231692665, 51.96178752365104], [7.628200244092031, 51.96130013292321], [7.627035767012597, 51.961619164931385], [7.626810516210441, 51.96193161331654], [7.627255541319063, 51.9623149378896]]]]}"
76,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.62753361236524, 51.966290240235764], [7.628500721982046, 51.9651006684494], [7.628594124722248, 51.963963120954645], [7.627470421833731, 51.96393147260129], [7.627368798566325, 51.9640354932109], [7.627162284953621, 51.96490851825493], [7.627414733212534, 51.966318547292204], [7.62753361236524, 51.966290240235764]]]]}"
64,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.627472699900149, 51.962679078545214], [7.627846722329802, 51.96264567628386], [7.628563077234805, 51.962222273908125], [7.62870826604818, 51.96204147037004], [7.6283231692665, 51.96178752365104], [7.627255541319063, 51.9623149378896], [7.627472699900149, 51.962679078545214]]]]}"
91,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.627663241868287, 51.95960416769749], [7.627853892543913, 51.95929173810801], [7.626595098807302, 51.95915149932268], [7.625973080985638, 51.96050059890051], [7.626742476211924, 51.96031332141096], [7.627663241868287, 51.95960416769749]]]]}"
44,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.626742476211924, 51.96031332141096], [7.626014641583975, 51.96172744991316], [7.626203353607221, 51.961856005275045], [7.62638332477851, 51.96193125392723], [7.626810516210441, 51.96193161331654], [7.627035767012597, 51.961619164931385], [7.627663241868287, 51.95960416769749], [7.626742476211924, 51.96031332141096]]]]}"
26,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.628360453143572, 51.958996360040196], [7.628572700282711, 51.9588493409436], [7.628065988361631, 51.95670332888193], [7.627479249021722, 51.95660357052739], [7.626921558271626, 51.95723058953227], [7.626821177693059, 51.95774451350663], [7.628360453143572, 51.958996360040196]]]]}"
92,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.627663241868287, 51.95960416769749], [7.627035767012597, 51.961619164931385], [7.628200244092031, 51.96130013292321], [7.628506578271956, 51.96054593900193], [7.628223864383003, 51.95914085425721], [7.627853892543913, 51.95929173810801], [7.627663241868287, 51.95960416769749]]]]}"
30,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.626921558271626, 51.95723058953227], [7.624940831432037, 51.95708889789897], [7.626821177693059, 51.95774451350663], [7.626921558271626, 51.95723058953227]]]]}"
62,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.628065988361631, 51.95670332888193], [7.629772845361747, 51.953692445734944], [7.62942787701193, 51.952363620559744], [7.626591274598701, 51.94530185808473], [7.623669446917114, 51.95361317262838], [7.62407984794708, 51.95524345971005], [7.627479249021722, 51.95660357052739], [7.628065988361631, 51.95670332888193]]]]}"
45,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.628223864383003, 51.95914085425721], [7.628506578271956, 51.96054593900193], [7.629256754714687, 51.961408097568196], [7.630327268112195, 51.96061619480791], [7.630323336924691, 51.95960341408062], [7.629903535833061, 51.95880147444732], [7.628572700282711, 51.9588493409436], [7.628360453143572, 51.958996360040196], [7.628223864383003, 51.95914085425721]]]]}"
80,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.6283231692665, 51.96178752365104], [7.62870826604818, 51.96204147037004], [7.628980546088918, 51.96202935901471], [7.629270776693317, 51.961728352978035], [7.629256754714687, 51.961408097568196], [7.628506578271956, 51.96054593900193], [7.628200244092031, 51.96130013292321], [7.6283231692665, 51.96178752365104]]]]}"
